Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Rachel Lam,Imagination Capital,,,,Venture Capital,www.imaginationvc.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.05,"New York, NY",www.imaginationvc.com,Over $10 Billion,,,,,,,,,,,,
Bruce Eric Clarke,PBJ Capital,,,,Venture Capital,pbjcapital.com, ,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Boston, MA",pbjcapital.com,Under $5 Billion,,,,,,,,,,,,
Stephen DiBartolomeo,Scout Ventures,,,,Venture Capital,www.scoutventures.com,"Canada, North America, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"New York, NY",www.scoutventures.com,Over $10 Billion,,,,,,,,,,,,
Jordan S. Ryan,Rhythm VC,,,,Venture Capital,www.rhythmvc.com, ,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.rhythmvc.com,Under $5 Billion,,,,,,,,,,,,
Ryan Sweeney,Accel,,,,Venture Capital,www.accel.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$1.00,$30.00,"Palo Alto, CA",www.accel.com,Under $5 Billion,,,,,,,,,,,,
Victoria Jodis,Steel Wolf Ventures,,,,Venture Capital,www.steelwolfventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Pre-SEED,Series A,Angel,SEED","Convertible Debt,Debt Refinancing,Debt,Loan",$0.10,$10.00,"Beverly Hills, CA",www.steelwolfventures.com,Over $10 Billion,,,,,,,,,,,,
Kay Enjoji,TEL Venture Capital,,,,Corporate Venture Capital,https://www.tel.com/rd/telvc/index.html,"Asia, United Kingdom, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.50,"Fremont, CA",,$5B to $10B,,,,,,,,,,,,
Karthik Nageswaran,Kalaari Capital,,,,Venture Capital,www.kalaari.com,"India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Bangalore, India",www.kalaari.com,Over $10 Billion,,,,,,,,,,,,
Bruce R. Tiedemann,Boston Millennia Partners,,,,Growth/Expansion,www.bostonmillenniapartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.50,"Boston, MA",www.bostonmillenniapartners.com,Over $10 Billion,,,,,,,,,,,,
Theodore B. Smith,Canrock Ventures,,,,Venture Capital,www.canrockventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.15,"Oyster Bay, NY",www.canrockventures.com,Under $5 Billion,,,,,,,,,,,,
Michael Y. Mashaal,HealthCor Partners Management,,,,Growth/Expansion,www.healthcorpartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,"New York, NY",www.healthcorpartners.com,$5B to $10B,,,,,,,,,,,,
Warren Rogers,Downing Ventures,,,,Venture Capital,www.downingventures.com,"Asia, Middle East, United Kingdom, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.14,$1.37,"London, United Kingdom",www.downingventures.com,$5B to $10B,,,,,,,,,,,,
Chuck Templeton,S2G Ventures,,,,Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$3.00,"Chicago, IL",www.s2gventures.com,Over $10 Billion,,,,,,,,,,,,
Arjan Schütte,Core Innovation Capital,,,,Venture Capital,www.corevc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.00,"Los Angeles, CA",www.corevc.com,Over $10 Billion,,,,,,,,,,,,
Minsoo Chi,Spider Capital,,,,Venture Capital,www.spidercapital.com,"Canada, Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Beverly Hills, CA",www.spidercapital.com,Under $5 Billion,,,,,,,,,,,,
Dovi Frances,Group 11,,,,Venture Capital,group11.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Beverly Hills, CA",group11.vc,Under $5 Billion,,,,,,,,,,,,
Merijn Klaassen,Life Sciences Partners,,,,Venture Capital,www.lspvc.com,"United States, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.24,$5.88,"Amsterdam, Netherlands",www.lspvc.com,Under $5 Billion,,,,,,,,,,,,
Jacqueline Bennett,SJF Ventures,,,,Venture Capital,www.sjfventures.com,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Durham, NC",www.sjfventures.com,Under $5 Billion,,,,,,,,,,,,
John Fein,Firebrand Ventures,,,,Venture Capital,www.firebrandvc.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Kansas City, KS",www.firebrandvc.com,$5B to $10B,,,,,,,,,,,,
Matthew T. Potter,Delphi Ventures,,,,Venture Capital,www.delphiventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$2.00,"San Mateo, CA",www.delphiventures.com,Over $10 Billion,,,,,,,,,,,,
Irina Meyer,Sils Capital,,,,Venture Capital,www.silscapital.com,"China, Israel, Switzerland, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Pleasanton, CA",www.silscapital.com,Under $5 Billion,,,,,,,,,,,,
John A. Francis,Stout Street Capital,,,,Venture Capital,www.stoutstreetcapital.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Denver, CO",www.stoutstreetcapital.com,Under $5 Billion,,,,,,,,,,,,
Kyran Culhane,DC Ventures,,,,Venture Capital,www.dcventures.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Washington, DC",www.dcventures.vc,Under $5 Billion,,,,,,,,,,,,
Tom Stringham,University Growth Fund,,,,Growth/Expansion,www.ugrowthfund.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Salt Lake City, UT",www.ugrowthfund.com,Under $5 Billion,Yes,45,10X and above,IPO,Weak,Heavily Involved ,Weeks,5,20%,Medium,67%,No
John Pappajohn,Pappajohn Capital Resources,,,,Venture Capital,www.pappajohn.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Des Moines, IA",www.pappajohn.com,Under $5 Billion,,,,,,,,,,,,
Patricia Muoio Ph.D,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,$5B to $10B,,,,,,,,,,,,
Henri Pierre-Jacques,Harlem Capital Partners,,,,Venture Capital,harlem.capital,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"New York, NY",harlem.capital,$5B to $10B,,,,,,,,,,,,
Marti Meyerson,2M Companies,,,,Family Office,www.2m.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Dallas, TX",www.2m.com,$5B to $10B,,,,,,,,,,,,
Raymond Choi,Valley Capital Partners,,,,Venture Capital,www.valleycappartners.com,"Americas, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.45,"Menlo Park, CA",www.valleycappartners.com,$5B to $10B,Yes,600,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Weeks,2,5%,Low,51%,Yes
Amir Vohooshi,7 Gate Ventures,,,,Family Office,www.7gate.vc,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Vancouver, Canada",www.7gate.vc,Under $5 Billion,,,,,,,,,,,,
James Dugan,OCA Ventures,,,,Venture Capital,www.ocaventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.40,"Chicago, IL",www.ocaventures.com,Under $5 Billion,,,,,,,,,,,,
Cindy Revol,Perot Jain,,,,Venture Capital,www.perotjain.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Dallas, TX",www.perotjain.com,Under $5 Billion,,,,,,,,,,,,
Benjamin Britt,Route 66 Ventures,,,,Venture Capital,www.route66ventures.com,"Africa, Americas, Asia, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$3.00,"Alexandria, VA",www.route66ventures.com,Under $5 Billion,,,,,,,,,,,,
Maggie Stahl,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,$5B to $10B,,,,,,,,,,,,
Jessica Straus,Dundee Venture Capital,,,,Venture Capital,www.dundeeventurecapital.com,"Midwest, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.13,"Omaha, NE",www.dundeeventurecapital.com,Over $10 Billion,,,,,,,,,,,,
Mark Hatch,Network Society Ventures,,,,Venture Capital,www.netsoc.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"New York, NY",www.netsoc.vc,Over $10 Billion,,,,,,,,,,,,
Phin Upham,Bloodhound Partners,,,,Venture Capital,www.bloodhound.com,"Asia, Europe, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"San Francisco, CA",www.bloodhound.com,Over $10 Billion,,,,,,,,,,,,
Vivek Ladsariya,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,Under $5 Billion,,,,,,,,,,,,
Olivier Gilbert Garel,Unilever Ventures,,,,Corporate Venture Capital,www.unileverventures.com,"Asia, Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$1.75,"London, United Kingdom",www.unileverventures.com,Over $10 Billion,Yes,60,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,3,60%,Medium,75%,No
Sean Drake,Stony Lonesome Group,,,,Merchant Banking Firm,www.stonylonesomegroupllc.com,United States,"Pre-SEED,Series A,SEED",Debt,$0.01,$1.00,"Weston, CT",www.stonylonesomegroupllc.com,Over $10 Billion,,,,,,,,,,,,
Armando Pauker,Apex Venture Partners,,,,Venture Capital,www.apexvc.com,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.60,"Chicago, IL",www.apexvc.com,Over $10 Billion,,,,,,,,,,,,
Gabriella Brignardello,Fika Ventures,,,,Venture Capital,www.fika.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Los Angeles, CA",www.fika.vc,Over $10 Billion,,,,,,,,,,,,
Clark C. Otley,Mayo Clinic Ventures,,,,Corporate Venture Capital,ventures.mayoclinic.org,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$2.00,"Rochester, MN",ventures.mayoclinic.org,Under $5 Billion,,,,,,,,,,,,
Benjamin Ling,Bling Capital,,,,Venture Capital,www.blingcap.com,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.10,"San Francisco, CA",www.blingcap.com,Under $5 Billion,,,,,,,,,,,,
Scott L Savitz,Data Point Capital,,,,Venture Capital,www.datapointcapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Boston, MA",www.datapointcapital.com,$5B to $10B,,,,,,,,,,,,
John H. Willmoth,Poplar Ventures,,,,Venture Capital,www.poplarventures.com,"Central America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.25,"Louisville, KY",www.poplarventures.com,$5B to $10B,,,,,,,,,,,,
Albert Wenger,Union Square Ventures,,,,Venture Capital,www.usv.com,"Asia, Australia, Europe, Middle East, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$0.60,"New York, NY",www.usv.com,$5B to $10B,Yes,100,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Months,2,10%,Low,36%,No
Will Rayner,TDF Ventures,,,,Venture Capital,www.tdfventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.tdfventures.com,$5B to $10B,,,,,,,,,,,,
Jonathan Tower,Catapult VC,,,,Venture Capital,www.catapultvc.com,"Eastern Europe, North America, South America, United States, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.70,"Palo Alto, CA",www.catapultvc.com,$5B to $10B,,,,,,,,,,,,
Stephen Cousineau,The Chernin Group,,,,PE/Buyout,tcg.co,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$8.50,"Los Angeles, CA",tcg.co,Over $10 Billion,,,,,,,,,,,,
Wendy Xiao Schadeck,Northzone Ventures,,,,Venture Capital,www.northzone.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.12,$2.94,"London, United Kingdom",www.northzone.com,Under $5 Billion,,,,,,,,,,,,
Leonard A. Batterson,Batterson Venture Capital,,,,Venture Capital,www.battersonvc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.50,"Chicago, IL",www.battersonvc.com,Under $5 Billion,,,,,,,,,,,,
Martin Philipp,Business Development Bank of Canada,,,,Corporation,www.bdc.ca,"Americas, Canada, United States","Pre-SEED,Series A,SEED","Loan,Debt",$0.24,$1.98,"Montreal, Canada",www.bdc.ca,$5B to $10B,,,,,,,,,,,,
Andrew Ogawa,Quest Venture Partners,,,,Venture Capital,www.questvp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Palo Alto, CA",www.questvp.com,$5B to $10B,,,,,,,,,,,,
Tina Bao,Congruent Ventures,,,,Venture Capital,www.congruentvc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.40,"Oakland, CA",www.congruentvc.com,$5B to $10B,,,,,,,,,,,,
Antoine Loison,Aglaé Ventures,,,,Venture Capital,www.aglaeventures.com,"France, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$10.00,"Paris, France",www.aglaeventures.com,$5B to $10B,,,,,,,,,,,,
Sean W. Doolan,Virtue VC,,,,Venture Capital,www.virtuevc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Austin, TX",www.virtuevc.com,$5B to $10B,Yes,32,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,1%,Low,12%,Case by case
Matt Weber,Sage Venture Partners,,,,Venture Capital,www.sagevp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"Winter Park, FL",www.sagevp.com,Under $5 Billion,,,,,,,,,,,,
Jenny Park,Quest Venture Partners,,,,Venture Capital,www.questvp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Palo Alto, CA",www.questvp.com,Under $5 Billion,,,,,,,,,,,,
Anne Margaret Glover,Amadeus Capital Partners,,,,Venture Capital,www.amadeuscapital.com,"Asia, Europe, Israel, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$4.13,"London, United Kingdom",www.amadeuscapital.com,Under $5 Billion,,,,,,,,,,,,
Pedro Mesquita,Mindset Ventures,,,,Venture Capital,www.mindset.ventures,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Sao Paulo, Brazil",www.mindset.ventures,Under $5 Billion,,,,,,,,,,,,
Philip Kent Kiracofe,Startupbootcamp,,,,Accelerator/Incubator,www.startupbootcamp.org,"Africa, Argentina, Asia, Australia, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Europe, Guatemala, Guyana, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, United States, Uruguay, Venezuela","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.07,"London, United Kingdom",www.startupbootcamp.org,$5B to $10B,,,,,,,,,,,,
Robert A. Garcia,Lincoln Park Capital,,,,Asset Manager,www.lpcfunds.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$5.00,"Chicago, IL",www.lpcfunds.com,$5B to $10B,,,,,,,,,,,,
Cristina Rohr,S2G Ventures,,,,Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$3.00,"Chicago, IL",www.s2gventures.com,$5B to $10B,,,,,,,,,,,,
Jonathan D. Root,US Venture Partners,,,,Venture Capital,www.usvp.com,West Coast,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.50,"Menlo Park, CA",www.usvp.com,Over $10 Billion,Yes,55,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Weeks,1,6%,Low,45%,No
Kristi LaCroix,Thomas McNerney & Partners,,,,Venture Capital,www.tm-partners.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$5.00,"Stamford, CT",www.tm-partners.com,Over $10 Billion,,,,,,,,,,,,
Viktoriya Tigipko,TA Ventures,,,,Venture Capital,www.taventures.vc,"Asia, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.12,"Kyiv, Ukraine",www.taventures.vc,Under $5 Billion,,,,,,,,,,,,
Joann Barsky,Town Hall Ventures,,,,Venture Capital,www.townhallventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$2.00,"New York, NY",www.townhallventures.com,Under $5 Billion,,,,,,,,,,,,
Chidozie Ugwumba,SymBiosis,,,,Angel Group,https://symbiosis.vc/team-member/chidozie-ugwumba/,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$3.00,"Bentonville, AR",,Under $5 Billion,,,,,,,,,,,,
Sébastien Loubry,AXA Venture Partners,,,,Venture Capital,www.axavp.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"Paris, France",www.axavp.com,$5B to $10B,,,,,,,,,,,,
Harry Edelson,Edelson Technology Partners,,,,Venture Capital,www.edelsontech.com,"Asia, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.30,"Montvale, NJ",www.edelsontech.com,$5B to $10B,,,,,,,,,,,,
Martin Gedalin,Lumia Capital,,,,Venture Capital,www.lumiacapital.com,"Central America, Europe, Middle East, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$3.00,"San Francisco, CA",www.lumiacapital.com,$5B to $10B,,,,,,,,,,,,
Hernán Fernández,Angel Ventures Mexico,,,,Venture Capital,www.angelventures.vc,"Chile, Colombia, Mexico, Peru","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Mexico City, Mexico",www.angelventures.vc,$5B to $10B,,,,,,,,,,,,
Kevin Hoffberg,Ulu Ventures,,,,Venture Capital,www.uluventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.08,$0.10,"Palo Alto, CA",www.uluventures.com,Over $10 Billion,Yes,900,10X and above,"IPO,Liquidation",Heavily Supportive,Heavily Involved ,Months,3,40%,High,56%,No
Jeffrey Parkinson,KEC Ventures,,,,Venture Capital,www.kecventures.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.00,"New York, NY",www.kecventures.com,Over $10 Billion,,,,,,,,,,,,
Andrew W. Montgomery,Mesa Ventures,,,,Venture Capital,www.mesa.vc,"Colombia, Finland, India, Kenya, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"New York, NY",www.mesa.vc,Under $5 Billion,,,,,,,,,,,,
Fabrice Grinda,FJ Labs,,,,Venture Capital,www.fjlabs.com,"Bay Area, Europe, India, Mexico, New York, New York Metro, South America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.04,$0.70,"New York, NY",www.fjlabs.com,Under $5 Billion,,,,,,,,,,,,
Mike Winterfield,Active Impact Investments,,,,Venture Capital,www.activeimpactinvestments.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.13,"Vancouver, Canada",www.activeimpactinvestments.com,Under $5 Billion,,,,,,,,,,,,
David Stark,Ground Up Ventures,,,,Venture Capital,www.groundup.vc,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.05,"Philadelphia, PA",www.groundup.vc,Under $5 Billion,,,,,,,,,,,,
Eric Reiner,Vine Capital Management,,,,Venture Capital,www.vineventures.com,"Central America, Israel, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.30,"New York, NY",www.vineventures.com,Under $5 Billion,Yes,3,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,3,5%,Low,45%,Case by case
Nasir Bin Olu Dara Jones,QueensBridge Venture Partners,,,,Venture Capital,www.qbvp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Los Angeles, CA",www.qbvp.com,Under $5 Billion,,,,,,,,,,,,
Hunter Babcock,Atland Ventures,,,,Venture Capital,www.atlandventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Minneapolis, MN",www.atlandventures.com,$5B to $10B,,,,,,,,,,,,
Julie K. Goonewardene,UT Horizon Fund,,,,Venture Capital,www.uts-innovation.com/horizon-fund,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Austin, TX",www.uts-innovation.com/horizon-fund,$5B to $10B,No,50,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Weeks,5,10%,Low,50%,No
Jesse Singerman,Prairie Ventures,,,,Venture Capital,www.prairieventures.net,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.80,"Omaha, NE",www.prairieventures.net,Over $10 Billion,,,,,,,,,,,,
Inbal Tal,Veritas Venture Partners,,,,Venture Capital,www.veritasvc.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.35,"Ra'anana, Israel",www.veritasvc.com,Over $10 Billion,Yes,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,50%,High,12%,No
Ashmeet Sidana,Engineering Capital,,,,Venture Capital,www.engineeringcapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"San Francisco, CA",www.engineeringcapital.com,Under $5 Billion,,,,,,,,,,,,
Sundaram Sivakumar,Brand Capital,,,,Corporate Venture Capital,www.brandcapital.co.in,"Americas, Asia, Canada, Europe, Middle East, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.02,"Mumbai, India",www.brandcapital.co.in,Under $5 Billion,,,,,,,,,,,,
Will Prendergast,Frontline Ventures,,,,Venture Capital,www.frontline.vc,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.59,"Dublin, Ireland",www.frontline.vc,Under $5 Billion,,,,,,,,,,,,
Carey Lai,Conductive Ventures,,,,Venture Capital,www.conductive.vc,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.70,"Palo Alto, CA",www.conductive.vc,Under $5 Billion,,,,,,,,,,,,
Manu Midha,WhiteHill Ventures,,,,Venture Capital,www.whitehillvc.com,"India, Pakistan, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,,www.whitehillvc.com,Under $5 Billion,,,,,,,,,,,,
Pat Hwang,Okapi Venture Capital,,,,Venture Capital,www.okapivc.com,"California, Southern California","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.75,$3.00,,www.okapivc.com,$5B to $10B,,,,,,,,,,,,
Daniel Darling,Darling Ventures,,,,Venture Capital,www.darlingventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",www.darlingventures.com,$5B to $10B,,,,,,,,,,,,
Israel Y. Ganot,Aviv Growth Partners,,,,Venture Capital,www.avivgrowth.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"Boston, MA",www.avivgrowth.com,$5B to $10B,,,,,,,,,,,,
Susan Moring,Cortado Ventures,,,,Venture Capital,www.cortado.ventures,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Oklahoma City, OK",www.cortado.ventures,$5B to $10B,,,,,,,,,,,,
Kees Koolen,EQT Ventures,,,,Venture Capital,www.eqtventures.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.12,$8.82,"Stockholm, Sweden",www.eqtventures.com,Over $10 Billion,,,,,,,,,,,,
Laura González-Estéfani,TheVentureCity,,,,Venture Capital,www.theventure.city,"Americas, Southern Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.40,"Miami, FL",www.theventure.city,Over $10 Billion,,,,,,,,,,,,
Michael Mealling,Starbridge Venture Capital,,,,Venture Capital,www.starbridgevc.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"New York, NY",www.starbridgevc.com,Over $10 Billion,,,,,,,,,,,,
Wilfred E. Jaeger,Three Arch Partners,,,,Venture Capital,www.threearchpartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.50,"San Mateo, CA",www.threearchpartners.com,Under $5 Billion,,,,,,,,,,,,
Jyri Engestrom,Yes VC,,,,Venture Capital,www.yes.vc,"Americas, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"San Francisco, CA",www.yes.vc,Over $10 Billion,No,135,10X and above,"Acquisition,Revenue driven returns",Weak,Heavily Involved ,Months,4,14%,High,12%,No
Eric Si-liang Tan,Innotech Capitals,,,,Venture Capital,www.innotechx.com,"China, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$10.00,"Shanghai, China",www.innotechx.com,Over $10 Billion,,,,,,,,,,,,
