Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Kirsten Morbeck,SpringRock Ventures,"Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,IT Services,Software",,"HealthTech,SaaS",Venture Capital,www.springrockventures.com,North America,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",6.00,2.00,"Seattle, WA",www.springrockventures.com,,,,,,,,,,,,,,,
Minsoo Chi,Spider Capital,Software,,"Artificial Intelligence & Machine Learning,Big Data,CloudTech & DevOps,Construction Technology,InsurTech,Manufacturing,Oil & Gas,Robotics and Drones,SaaS,Supply Chain Tech,TMT",Venture Capital,www.spidercapital.com,"Canada, Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"Beverly Hills, CA",www.spidercapital.com,,,,,,,,,,,,,,,
Tal Elyashiv,SPiCE VC,"Other Financial Services,Software",,"Cryptocurrency/Blockchain,FinTech,Mobile,SaaS,TMT",Venture Capital,www.spicevc.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,3.00,"Singapore, Singapore",www.spicevc.com,,,,,,,,,,,,,,,
Kevin Low,SPH Ventures,"Internet Service Providers,Media",,"AdTech,Big Data,Internet of Things,TMT",Corporate Venture Capital,www.sphventures.com.sg, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.58,0.72,"Singapore, Singapore",www.sphventures.com.sg,,,,,,,,,,,,,,,
Sara Eshelman,Spero Ventures,"Energy,Software",,"AgTech,Artificial Intelligence & Machine Learning,CleanTech,Digital Health,EdTech,FinTech,FoodTech,LOHAS & Wellness,Mobile,SaaS",Venture Capital,www.spero.vc,United States,"Early Stage,Late Stage","Convertible Debt,SAFE,Debt",4.00,2.00,"Redwood City, CA",www.spero.vc,,,,,,,,,,,,,,,
Henry R. Kaestner,Sovereign's Capital,"Commercial Services,Consumer Durables,Healthcare Devices and Supplies,Healthcare Technology Systems,Retail,Services (Non-Financial),Software",,"HealthTech,Manufacturing,SaaS,TMT",PE/Buyout,www.sovereignscapital.com,"Southeast Asia, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"San Francisco, CA",www.sovereignscapital.com,,,,,,,,,,,,,,,
Jonathan Gosier,Southbox,"Entertainment Software,Media",,"AdTech,AudioTech,FinTech,Marketing Tech",Venture Capital,www.southbox.io,"Georgia, North America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"Philadelphia, PA",www.southbox.io,,,,,,,,,,,,,,,
Thomas Peterson,Social Leverage,"Capital Markets/Institutions,Healthcare Services,Healthcare Technology Systems,Insurance,Media,Other Financial Services,Software",,"FinTech,HealthTech,Mobile",Venture Capital,www.socialleverage.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Scottsdale, AZ",www.socialleverage.com,,,,,,,,,,,,,,,
Chamath Palihapitiya,Social Capital,"Commercial Products,Commercial Services,Communications and Networking,Educational and Training Services (B2C),Financial Services,Pharmaceuticals and Biotechnology,Software",,"3D Printing,CleanTech,Mobile,SaaS,TMT",Venture Capital,www.socialcapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,5.00,"Palo Alto, CA",www.socialcapital.com,,,,,,,,,,,,,,,
Jacqueline Bennett,SJF Ventures,"Agriculture,Beverages,Education and Training Services (B2B),Educational and Training Services (B2C),Food Products,Healthcare,Logistics,Other Business Products and Services,Other Commercial Services,Other Consumer Non-Durables,Other Energy,Software",,"CleanTech,EdTech,Impact Investing,LOHAS & Wellness",Venture Capital,www.sjfventures.com,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Durham, NC",www.sjfventures.com,,,,,,,,,,,,,,,
Patricia Muoio Ph.D,SineWave Ventures,Software,,"SaaS,TMT",Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.50,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Maggie Stahl,SineWave Ventures,Software,,"SaaS,TMT",Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.50,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Vivek Ladsariya,SineWave Ventures,Software,,"SaaS,TMT",Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.50,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Irina Meyer,Sils Capital,"Communications and Networking,Computer Hardware,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,IT Services,Media,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"AdTech,Gaming,Internet of Things",Venture Capital,www.silscapital.com,"China, Israel, Switzerland, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"Pleasanton, CA",www.silscapital.com,,,,,,,,,,,,,,,
Carter Weiss,Silas Capital,"Application Software,Beverages,Clothing,Commercial Products,Food Products,General Merchandise Stores,Home Furnishings,Household Appliances,Household Products,Internet Retail,Internet Software,Other Consumer Products and Services,Other Retail,Personal Products,Recreational Goods,Restaurants,Hotels and Leisure,Specialty Retail",,"Beauty,Cannabis,Cybersecurity,E-Commerce,eSports,Impact Investing,SaaS",Growth/Expansion,www.silascapital.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",15.00,5.00,"New York, NY",www.silascapital.com,,,,,,,,,,,,,,,
James C. Gale,Signet Healthcare Partners,Pharmaceuticals and Biotechnology,,"HealthTech,Life Sciences",Growth/Expansion,www.signethealthcarepartners.com,"Europe, North America","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",15.00,10.00,"New York, NY",www.signethealthcarepartners.com,,,,,,,,,,,,,,,
,Signal Lake Management,"Communications and Networking,Media,Software",,"SaaS,TMT",Venture Capital,www.signallake.com,Northeast,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",100.00,0.10,"Westport, CT",www.signallake.com,,,,,,,,,,,,,,,
Wayne D. Kimmel,SeventySix Capital,"Other Consumer Products and Services,Retail",,"eSports,Gaming",Venture Capital,www.seventysixcapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Conshohocken, PA",www.seventysixcapital.com,,,,,,,,,,,,,,,
Jake Moilanen,Seraph Group,"Biotechnology,Commercial Services,Consumer Durables,Software",,"3D Printing,Artificial Intelligence & Machine Learning,Digital Health,HealthTech,Internet of Things,Life Sciences,Marketing Tech,Mobile,SaaS,TMT,Virtual Reality",Venture Capital,www.seraphgroup.net,United States,"Angel Round,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,0.20,"Atlanta, GA",www.seraphgroup.net,,,,,,,,,,,,,,,
Marie Klemchuk,Sequoia Capital,"Commercial Services,Communications and Networking,Computer Hardware,Consumer Non-Durables,Energy,Financial Services,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Pharmaceuticals and Biotechnology,Retail,Semiconductors,Software",,"AdTech,AudioTech,CleanTech,Digital Health,E-Commerce,FinTech,FoodTech,HealthTech,Life Sciences,Manufacturing,Marketing Tech,Mobile,Nanotechnology,Oncology,SaaS,TMT",Venture Capital,www.sequoiacap.com,"China, Europe, India, Israel, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.05,200.00,"Menlo Park, CA",www.sequoiacap.com,,,,,,,,,,,,,,,
Serhat Cicekoglu,Sente Foundry,"Computer Hardware,Logistics,Software",,"Advanced Manufacturing,AgTech,FoodTech,Internet of Things,Micro-Mobility,Mobility Tech",Corporate Venture Capital,www.sente.link,"Asia, Central America, Europe, Middle East, South America, United States","Corporate,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.04,0.02,"Chicago, IL",www.sente.link,,,,,,,,,,,,,,,
Ryan M. Feit,SeedInvest,"Apparel and Accessories,Building Products,Computer Hardware,Construction and Engineering,Consumer Non-Durables,Financial Services,Healthcare,Media and Information Services (B2B),Retail,Security Services (B2B),Software,Transportation",,"Big Data,Mobile,Real Estate Technology,Robotics and Drones,SaaS",Venture Capital,www.seedinvest.com,United States,"Angel Round,Early Stage,Late Stage,Seed",Crowdfunding,20.00,0.01,"New York, NY",www.seedinvest.com,,,,,,,,,,,,,,,
Alexandra Tynion,SeedInvest,"Apparel and Accessories,Building Products,Computer Hardware,Construction and Engineering,Consumer Non-Durables,Financial Services,Healthcare,Media and Information Services (B2B),Retail,Security Services (B2B),Software,Transportation",,"Big Data,Mobile,Real Estate Technology,Robotics and Drones,SaaS",Venture Capital,www.seedinvest.com,United States,"Angel Round,Early Stage,Late Stage,Seed",Crowdfunding,20.00,0.01,"New York, NY",www.seedinvest.com,,,,,,,,,,,,,,,
Tak Miyata,Scrum Ventures,"Business Products and Services (B2B),Healthcare,Insurance,Other Financial Services,Retail,Software,Transportation",,"Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,B2B Payments,Beauty,Big Data,CleanTech,Climate Tech,Digital Health,E-Commerce,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,Infrastructure,Internet of Things,Mobile,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,TMT,Virtual Reality",Venture Capital,www.scrum.vc,"Asia, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.20,"San Francisco, CA",www.scrum.vc,,,,,,,,,,,,,,,
Will Cruz,SC Launch,"Business Products and Services (B2B),Communications and Networking,Healthcare,IT Services,Materials and Resources,Other Information Technology,Software",,"3D Printing,Advanced Manufacturing,Artificial Intelligence & Machine Learning,Big Data,Cannabis,Cryptocurrency/Blockchain,Cybersecurity,EdTech,FinTech,FoodTech,HealthTech,HR Tech,Legal Tech,Life Sciences,Manufacturing,Marketing Tech,Real Estate Technology,SaaS,Supply Chain Tech,Wearables & Quantified Self",Government,www.scra.org/sclaunchinc,United States,"Bridge,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.30,0.10,"Columbia, SC",www.scra.org/sclaunchinc,,,,,,,,,,,,,,,
Wayne B. Weisman,SCP Partners,"Communications and Networking,Consumer Durables,Other Consumer Products and Services",,"E-Commerce,Life Sciences,SaaS,TMT",PE/Buyout,www.scppartners.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,2.00,"Malvern, PA",www.scppartners.com,,,,,,,,,,,,,,,
Stephen DiBartolomeo,Scout Ventures,"Business Products and Services (B2B),Information Technology,Materials and Resources",,"Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Big Data,Cybersecurity,Manufacturing,Micro-Mobility,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,Virtual Reality",Venture Capital,www.scoutventures.com,"Canada, North America, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"New York, NY",www.scoutventures.com,,,,,,,,,,,,,,,
Wally Wang,Scale Asia Ventures,"Financial Services,Healthcare,Infrastructure,IT Services,Software",,"Artificial Intelligence & Machine Learning,Big Data,Cryptocurrency/Blockchain,Cybersecurity,EdTech,FinTech,Infrastructure,InsurTech,Life Sciences,Real Estate Technology,SaaS,TMT",Venture Capital,www.sav.vc,"Asia, Canada, Europe, Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.03,"Menlo Park, CA",www.sav.vc,,,,,,,,,,,,,,,
Scott Thacker,Sand Hill Angels,Software,,"CleanTech,Internet of Things,Life Sciences,Mobile,SaaS,TMT",Angel Group,www.sandhillangels.com,United States,"Angel Round,Bridge,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"Mountain View, CA",www.sandhillangels.com,,,,,,,,,,,,,,,
Katharine Allison,Sand Hill Angels,Software,,"CleanTech,Internet of Things,Life Sciences,Mobile,SaaS,TMT",Angel Group,www.sandhillangels.com,United States,"Angel Round,Bridge,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"Mountain View, CA",www.sandhillangels.com,,,,,,,,,,,,,,,
Matt Weber,Sage Venture Partners,"Other Information Technology,Software",,"AdTech,Artificial Intelligence & Machine Learning,Autonomous cars,B2B Payments,Beauty,Big Data,Cannabis,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,InsurTech,Life Sciences,LOHAS & Wellness,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Nanotechnology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,TMT,Wearables & Quantified Self",Venture Capital,www.sagevp.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.10,"Winter Park, FL",www.sagevp.com,,,,,,,,,,,,,,,
Brian R. Smith,S3 Ventures,"Healthcare Technology Systems,Monitoring Equipment,Software,Surgical Devices",,"AdTech,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,B2B Payments,Big Data,CloudTech & DevOps,Construction Technology,Cybersecurity,E-Commerce,EdTech,FinTech,HealthTech,HR Tech,InsurTech,Legal Tech,Marketing Tech,Mobile,Mobility Tech,Mortgage Tech,Real Estate Technology,Restaurant Technology,SaaS,Space Technology,Supply Chain Tech,TMT,Virtual Reality",Venture Capital,www.s3vc.com,"Southwest, Texas","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,10.00,"Austin, TX",www.s3vc.com,,,,,,,,,,,,,,,
Kate Danaher,S2G Ventures,"Agriculture,Consumer Durables,Food Products,Logistics,Restaurants,Hotels and Leisure,Retail",,"Advanced Manufacturing,AgTech,Big Data,FoodTech,Infrastructure,LOHAS & Wellness,Restaurant Technology,SaaS",Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",30.00,0.50,"Chicago, IL",www.s2gventures.com,,,,,,,,,,,,,,,
Chuck Templeton,S2G Ventures,"Agriculture,Consumer Durables,Food Products,Logistics,Restaurants,Hotels and Leisure,Retail",,"Advanced Manufacturing,AgTech,Big Data,FoodTech,Infrastructure,LOHAS & Wellness,Restaurant Technology,SaaS",Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",30.00,0.50,"Chicago, IL",www.s2gventures.com,,,,,,,,,,,,,,,
Cristina Rohr,S2G Ventures,"Agriculture,Consumer Durables,Food Products,Logistics,Restaurants,Hotels and Leisure,Retail",,"Advanced Manufacturing,AgTech,Big Data,FoodTech,Infrastructure,LOHAS & Wellness,Restaurant Technology,SaaS",Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",30.00,0.50,"Chicago, IL",www.s2gventures.com,,,,,,,,,,,,,,,
,Reuters Venture Capital,Software,,TMT,Venture Capital,www.rvc.com,"Israel, United States, Western Europe","Early Stage,Seed","Convertible Debt,SAFE,Debt",7.00,1.00,"London, United Kingdom",www.rvc.com,,,,,,,,,,,,,,,
,Rustic Canyon Partners,"Commercial Services,Software",,"SaaS,TMT",Venture Capital,www.rusticcanyon.com,"California, Southeast, Southwest, Washington","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.10,"Santa Monica, CA",www.rusticcanyon.com,,,,,,,,,,,,,,,
Tyler Steinke,Runway Innovation Hub,"Business Products and Services (B2B),Energy,Financial Services,Healthcare,Information Technology",,"3D Printing,AdTech,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Big Data,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,EdTech,FemTech,FinTech,Gaming,HealthTech,HR Tech,InsurTech,Internet of Things,Legal Tech,Marketing Tech,Mobility Tech,Mortgage Tech,Nanotechnology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,TMT,Virtual Reality",Accelerator/Incubator,www.runway.is,"Brazil, East Asia, Europe, Saudi Arabia, Southeast Asia, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.10,"San Francisco, CA",www.runway.is,,,,,,,,,,,,,,,
Andre Bliznyuk,Runa Capital,Business/Productivity Software,,"EdTech,FinTech,HealthTech,SaaS",Venture Capital,www.runacap.com,"California, England, France, Germany, North America, Russia, Southern California","Early Stage,Late Stage,M&A,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Palo Alto, CA",www.runacap.com,,,,,,,,,,,,,,,
William Porteous,RRE Ventures,"Business/Productivity Software,Healthcare,Media,Media and Information Services (B2B),Other Commercial Services,Other Consumer Products and Services,Other Financial Services,Other Information Technology,Real Estate Services (B2C)",,"3D Printing,B2B Payments,CleanTech,Cryptocurrency/Blockchain,Digital Health,FinTech,Gaming,HealthTech,Life Sciences,Real Estate Technology,Robotics and Drones,Space Technology,TMT,Virtual Reality",Venture Capital,www.rre.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",8.00,0.25,"New York, NY",www.rre.com,,,,,,,,,,,,,,,
Marissa Campise,Rucker Park Capital,"Commercial Transportation,Healthcare,Information Technology,Logistics",,"FinTech,LOHAS & Wellness",Venture Capital,www.rpvc.com,North America,"Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"New York, NY",www.rpvc.com,,,,,,,,,,,,,,,
Wesley Tang-Wymer,Rucker Park Capital,"Commercial Transportation,Healthcare,Information Technology,Logistics",,"FinTech,LOHAS & Wellness",Venture Capital,www.rpvc.com,North America,"Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"New York, NY",www.rpvc.com,,,,,,,,,,,,,,,
Benjamin Britt,Route 66 Ventures,"Financial Services,Software",,"Digital Health,FinTech,InsurTech,LOHAS & Wellness",Venture Capital,www.route66ventures.com,"Africa, Americas, Asia, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",30.00,1.00,"Alexandria, VA",www.route66ventures.com,,,,,,,,,,,,,,,
Neil Chheda,Romulus Capital,"Construction and Engineering,Education and Training Services (B2B),Energy,Healthcare,Retail,Software",,"Advanced Manufacturing,AgTech,Big Data,Construction Technology,EdTech,Life Sciences,Mobile,Real Estate Technology,SaaS,TMT",Venture Capital,www.romuluscap.com,"India, United Kingdom, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.25,"Boston, MA",www.romuluscap.com,,,,,,,,,,,,,,,
Mark E. Dumas,Riverbend Capital,"Commercial Services,Software",,"E-Commerce,SaaS",Venture Capital,www.riverbend.vc,United States,"Angel Round,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.05,"Great Falls, VA",www.riverbend.vc,,,,,,,,,,,,,,,
Jeff Pomeranz,Right Side Capital Management,"IT Services,Software",,TMT,Venture Capital,www.rightsidecapital.com,"Canada, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.20,0.05,"San Francisco, CA",www.rightsidecapital.com,,,,,,,,,,,,,,,
Jordan S. Ryan,Rhythm VC,Healthcare,,"Digital Health,HealthTech,Life Sciences",Venture Capital,www.rhythmvc.com, ,"Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"New York, NY",www.rhythmvc.com,,,,,,,,,,,,,,,
Robert Helmedag,Rex Health Ventures,Pharmaceuticals and Biotechnology,,"HealthTech,Life Sciences,SaaS",Corporate Venture Capital,www.rexhealthventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"Raleigh, NC",www.rexhealthventures.com,,,,,,,,,,,,,,,
Chris Young,Revel Partners,"Business/Productivity Software,Commercial Services",,"AdTech,Big Data,Marketing Tech,Mobile,SaaS",Venture Capital,www.revelpartners.com,"United States, Western Europe","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"New York, NY",www.revelpartners.com,,,,,,,,,,,,,,,
Ryan J. Helon,Rev1 Ventures,"Agriculture,Business/Productivity Software,Commercial Products,Commercial Services,Consumer Durables,Database Software,Energy Equipment,Food Products,Healthcare Devices and Supplies,Healthcare Technology Systems,Insurance,Other Business Products and Services,Other Consumer Non-Durables,Other Consumer Products and Services,Other Energy,Other Financial Services,Other Healthcare,Other Information Technology,Other Materials,Other Software,Pharmaceuticals and Biotechnology",,"Advanced Manufacturing,AgTech,CleanTech,CloudTech & DevOps,Construction Technology,Digital Health,FinTech,FoodTech,HealthTech,Industrials,InsurTech,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,SaaS,TMT",Venture Capital,www.rev1ventures.com,Ohio,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.03,1.00,"Columbus, OH",www.rev1ventures.com,,,,,,,,,,,,,,,
Euan Guttridge,Reinforced Ventures,"Business Products and Services (B2B),Software",,"Autonomous cars,Life Sciences,Robotics and Drones,Virtual Reality",Venture Capital,www.reinforcedventures.com,Pennsylvania,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.15,1.50,"Pittsburgh, PA",www.reinforcedventures.com,,,,,,,,,,,,,,,
Ondrej Fryc,Reflex Capital,Software,,"SaaS,TMT",Venture Capital,www.reflexcapital.com,"Europe, United States","Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.09,0.01,"Prague, Czech Republic",www.reflexcapital.com,,,,,,,,,,,,,,,
Lars Pedersen,Redpoint Ventures,"Business Products and Services (B2B),Communications and Networking,Healthcare,Media,Software",,"Big Data,FinTech,Internet of Things,Manufacturing,Mobile,SaaS,TMT",Venture Capital,www.redpoint.com,"Brazil, China, Europe, Israel, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,0.10,"Woodside, CA",www.redpoint.com,,,,,,,,,,,,,,,
Andrew Ogawa,Quest Venture Partners,"Business Products and Services (B2B),Consumer Durables,Media,Other Consumer Products and Services,Other Information Technology",,"AdTech,Advanced Manufacturing,Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Big Data,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cybersecurity,Digital Health,E-Commerce,eSports,FemTech,FinTech,Gaming,HealthTech,Infrastructure,InsurTech,Internet of Things,Manufacturing,Marketing Tech,Mobile,Mobile Commerce,Nanotechnology,Real Estate Technology,Restaurant Technology,Robotics and Drones,Space Technology,TMT,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.questvp.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.30,"Palo Alto, CA",www.questvp.com,,,,,,,,,,,,,,,
Jenny Park,Quest Venture Partners,"Business Products and Services (B2B),Consumer Durables,Media,Other Consumer Products and Services,Other Information Technology",,"AdTech,Advanced Manufacturing,Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Big Data,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cybersecurity,Digital Health,E-Commerce,eSports,FemTech,FinTech,Gaming,HealthTech,Infrastructure,InsurTech,Internet of Things,Manufacturing,Marketing Tech,Mobile,Mobile Commerce,Nanotechnology,Real Estate Technology,Restaurant Technology,Robotics and Drones,Space Technology,TMT,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.questvp.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.30,"Palo Alto, CA",www.questvp.com,,,,,,,,,,,,,,,
Brian Matthews,QuestMark Partners,"Healthcare,Internet Service Providers,IT Services,Media,Software,Storage (IT)",,"E-Commerce,HealthTech,Internet of Things,Life Sciences,Mobile,SaaS",Venture Capital,www.questm.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",5.00,30.00,"Baltimore, MD",www.questm.com,,,,,,,,,,,,,,,
Glenn Argenbright,Quake Capital,"Healthcare,Logistics,Movies,Music and Entertainment,Security Services (B2B),Software,Transportation",,"AdTech,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,Gaming,Internet of Things,Mobile,Robotics and Drones,SaaS,Virtual Reality",Accelerator/Incubator,www.quakecapital.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.15,0.50,"Austin, TX",www.quakecapital.com,,,,,,,,,,,,,,,
Nasir Bin Olu Dara Jones,QueensBridge Venture Partners,"Commercial Services,Financial Services,Media,Retail,Services (Non-Financial),Software",,"AdTech,E-Commerce,FinTech,Mobile,SaaS,TMT",Venture Capital,www.qbvp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Los Angeles, CA",www.qbvp.com,,,,,,,,,,,,,,,
,PSINet Ventures,Software,,"Marketing Tech,SaaS,TMT",Venture Capital,www.psinet.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"Herndon, VA",www.psinet.com,,,,,,,,,,,,,,,
Stephen M. Krupa,Psilos Group Managers,"Commercial Services,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems",,"3D Printing,Life Sciences,SaaS,TMT",Venture Capital,www.psilos.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",25.00,8.00,"New York, NY",www.psilos.com,,,,,,,,,,,,,,,
Alain B. Schreiber,ProQuest Investments,Pharmaceuticals and Biotechnology,,"Digital Health,HealthTech,Life Sciences,Oncology",Venture Capital,www.proquestvc.com,"Canada, Israel, United States, Western Europe","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,0.25,"Naples, FL",www.proquestvc.com,,,,,,,,,,,,,,,
Jay Reinemann,Propel Venture Partners,"Insurance,Software",,"FinTech,TMT",Venture Capital,www.propel.vc,"Brazil, Canada, Germany, Mexico, United Kingdom, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"San Carlos, CA",www.propel.vc,,,,,,,,,,,,,,,
Sean Seton-Rogers,PROfounders Capital,Software,,"EdTech,Esports,FinTech,HR Tech,InsurTech,TMT",Venture Capital,www.profounderscapital.com,Europe,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.63,1.21,"London, United Kingdom",www.profounderscapital.com,,,,,,,,,,,,,,,
Christopher E. Girgenti,Pritzker Group Venture Capital,"Consumer Products and Services (B2C),Healthcare,Software",,"E-Commerce,HealthTech,SaaS",Venture Capital,www.pritzkergroup.com/venture-capital,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.50,"Chicago, IL",www.pritzkergroup.com/venture-capital,,,,,,,,,,,,,,,
